,CD_ID,P_Democrat,P_Republican,Pop,Females,Median_Age,Veterans,White_People,Afr_Am_People,Asian,American_Ind_Alk_Ntv,Cuban_Origin,Puerto_Rican_Origin,Dominican_Origin,Mexican_Origin,Native_US,Foreign_Born,Children,Married_Households,Less_Highschool,Bachelor_Holders,Labor_Force_Eligible,Unemployed,Median_Household_Income,Median_Income,Below_Poverty_Level_LTM,Wealthy_Households,Gini_Index,Median_Age_Of_Worker,Workers,Working_Agricult,Working_Construction,Working_Manufacturing,Working_Retail,Working_Transportation,Working_Finance,Working_Education,Working_Health,Working_Food,Working_Public_Admin,Working_Information,Median_Gross_Rent,District_Name,State_Id,CD,State_Full,State,Health_insurance_coverage,Turn_Out,Approval_Rate_Predecessor,Vote_2012,Vote_2016,Vote_2020
169,KY-03,54.9,39.9,749110,387809,38.3,41861,525539,167681,22504,1894,13014,3908,87,15373,680909,61006,165675,120861,51580,103489,388798,441,54956,30393,115035,16790,0.4845,38.7,372958,826,18853,41653,37797,30616,28643,34010,53544,29931,10324,7791,871,"Congressional District 3 (116th Congress), Kentucky",21,03,Kentucky,KY,94.5,0.4856621262,39.36666667,328389.0,340043.4401694527,352111.49338825647
170,KY-04,29.3,65.2,754387,380345,39.3,45857,693312,25869,8646,849,320,1860,28,14712,726638,22287,177180,148442,49737,92505,382465,2322,63562,31712,86721,18662,0.4496,40.9,366872,3897,20198,50776,43200,27548,29004,29880,49955,23374,14206,6339,831,"Congressional District 4 (116th Congress), Kentucky",21,04,Kentucky,KY,95.0,0.4856621262,39.36666667,311034.927016173,337148.5598305473,365454.6210815148
171,KY-05,17.5,79.6,695105,351095,40.8,30766,674403,8772,1749,982,114,1341,0,4538,687875,5714,154295,138158,106320,34635,247379,453,35409,19736,177537,4064,0.4845,39.6,233370,9750,16649,23416,28917,13963,7620,25423,38906,16435,15773,4371,614,"Congressional District 5 (116th Congress), Kentucky",21,05,Kentucky,KY,94.5,0.4856621262,39.36666667,261482.6425973966,278383.0,296375.67495568667
172,KY-06,39.4,54.7,778826,396962,37.1,39805,655551,66818,14654,992,745,2205,371,24540,731303,41723,170244,139692,60029,95356,395014,543,52598,28012,111345,13412,0.4631,37.9,381008,7073,21176,49158,45408,16279,17246,46698,52136,29172,20640,5776,830,"Congressional District 6 (116th Congress), Kentucky",21,06,Kentucky,KY,93.5,0.4856621262,39.36666667,304860.5848994664,333012.0,363762.97113177285
173,LA-01,26.7,68.7,806638,410228,38.7,40492,634048,112895,20878,10809,4430,3862,667,18559,746065,55464,184619,143186,65703,111625,394647,93,58256,29538,107560,19250,0.4791,40.0,379012,9899,28933,22405,41431,19261,21817,36778,55471,33774,18618,5318,947,"Congressional District 1 (116th Congress), Louisiana",22,01,Louisiana,LA,91.8,0.4476399016,39.36666667,332922.998670749,356482.1137288602,381708.3767597381
174,LA-02,74.6,22.2,794121,414992,37.5,33274,247841,491080,16320,1885,2507,3771,5291,12422,737140,50403,179844,91011,86847,80912,373113,68,38131,22827,187078,9972,0.5179,39.1,342584,3706,26127,23658,36131,22998,16342,29293,46207,42708,19629,4593,924,"Congressional District 2 (116th Congress), Louisiana",22,02,Louisiana,LA,90.9,0.4476399016,39.36666667,328306.071178936,331702.3277977897,335133.71797046316
175,LA-03,29.2,67.3,783545,401027,36.8,43301,551911,197823,10513,2586,1410,920,114,19405,756142,23787,192638,139898,80727,79682,362146,61,48837,25756,135216,11554,0.4705,38.9,343484,22522,32415,25916,41935,16104,14726,34760,43960,29040,12184,4128,792,"Congressional District 3 (116th Congress), Louisiana",22,03,Louisiana,LA,92.4,0.4476399016,39.36666667,333572.668656017,343024.6016347385,352744.35942474985
176,LA-04,36.6,60.6,747314,376735,37.2,48961,448036,257496,7916,5155,232,3427,71,19355,722514,17347,179206,120035,69974,64928,315837,709,39485,22481,163552,7716,0.4897,39.0,293210,13593,23031,23432,35663,19153,12596,22855,44303,19681,16550,3639,764,"Congressional District 4 (116th Congress), Louisiana",22,04,Louisiana,LA,92.8,0.4476399016,39.36666667,324250.186321028,318462.1701637047,312777.4727782765
177,LA-05,34.1,63.5,738249,371571,37.8,41500,448097,262847,5278,2490,209,1082,0,9250,723413,11691,176770,113350,84909,57200,292040,928,40321,22392,162569,7260,0.4933,40.3,273860,13556,17870,22352,30842,14523,12365,26507,49012,19781,17528,4729,720,"Congressional District 5 (116th Congress), Louisiana",22,05,Louisiana,LA,91.4,0.4476399016,39.36666667,329531.279174797,323409.435537125,317401.3200093245
178,LA-06,31,64.8,790111,408895,36.0,39811,547182,187266,15350,2732,1767,1410,685,13151,747045,36335,184508,141124,54399,102287,399644,79,62288,32018,87651,21496,0.4762,37.9,383522,6560,38611,37845,42121,18162,21307,37433,56204,21229,24576,4871,946,"Congressional District 6 (116th Congress), Louisiana",22,06,Louisiana,LA,92.9,0.4476399016,39.36666667,345481.795998473,355951.3511377819,366738.177942587
