,Pop,Females,Median_Age,Veterans,White_People,Afr_Am_People,Asian,American_Ind_Alk_Ntv,Cuban_Origin,Puerto_Rican_Origin,Dominican_Origin,Mexican_Origin,Native_US,Foreign_Born,Children,Married_Households,Less_Highschool,Bachelor_Holders,Labor_Force_Eligible,Unemployed,Median_Household_Income,Median_Income,Below_Poverty_Level_LTM,Wealthy_Households,Gini_Index,Median_Age_Of_Worker,Workers,Working_Agricult,Working_Construction,Working_Manufacturing,Working_Retail,Working_Transportation,Working_Finance,Working_Education,Working_Health,Working_Food,Working_Public_Admin,Working_Information,Median_Gross_Rent,District_Name,State_Id,CD,State_Full,State,CD_ID
56,638391,322226,31.5,223625,328222,22040,69990,4635,1674,2358,254,418209,395239,238438,183804,91222,131674,40319,21436,0,53742,21707,80406,3395,0.401,37.6,32648,50327,44708,50597,65436,62230,39551,72534,18908,32479,32147,40271,5.1,"Congressional District 38, California (111th Congress)",06,38,California,CA,CA-38
57,647444,329361,31.1,218383,296738,35042,67685,4690,2464,3256,235,367571,421587,221110,193621,98052,121294,46523,21424,15,55943,23050,87373,4408,0.408,37.9,36014,56543,52980,56656,75079,57653,40578,75538,20776,34328,33418,49966,5.0,"Congressional District 39, California (111th Congress)",06,39,California,CA,CA-39
58,660656,332750,35.2,240020,380172,17344,126522,4036,2136,2243,42,196863,454444,199751,169993,114766,74213,89678,18959,0,68912,29373,61992,12516,0.424,39.4,44799,66327,55450,67003,77779,60193,50510,86844,22132,40009,37846,60102,5.3,"Congressional District 40, California (111th Congress)",06,40,California,CA,CA-40
59,761290,386025,34.2,256485,542895,46066,32989,10023,1366,3545,383,208800,642350,110205,215093,134609,82176,55682,25296,1028,50518,24474,114165,6871,0.44,39.4,43684,61344,52461,61362,71172,61197,43762,74332,19786,37382,34994,57918,5.4,"Congressional District 41, California (111th Congress)",06,41,California,CA,CA-41
60,669411,336508,37.1,245839,418520,17703,126387,3635,2457,2741,215,152386,498137,165307,171364,135265,45707,112113,19944,23,88450,38235,31561,21009,0.397,41.9,57099,74823,61709,72926,83148,77500,52307,88575,23656,46445,40934,61285,6.0,"Congressional District 42, California (111th Congress)",06,42,California,CA,CA-42
61,717171,357004,27.7,235119,378229,81676,27988,5978,2708,4937,101,423295,501751,209497,243453,100765,131414,32259,27627,0,49490,21662,120035,2692,0.398,36.6,33765,52352,49740,51813,65022,62337,41817,77269,20113,32761,31922,49401,5.3,"Congressional District 43, California (111th Congress)",06,43,California,CA,CA-43
62,795679,393929,32.2,280114,509947,44601,53111,5852,2388,4720,236,287338,604962,183110,234255,142012,93801,78169,27600,7,70397,28898,77888,15844,0.431,38.7,46733,70273,61870,66675,76414,67798,51567,88775,22720,41869,37853,58011,5.8,"Congressional District 44, California (111th Congress)",06,44,California,CA,CA-44
63,863328,429552,35.0,304731,568155,55792,37299,7103,1402,4353,208,327716,668675,186080,246332,151192,112075,75125,25528,0,54180,25341,113343,13273,0.464,39.4,40363,60909,52814,60229,72637,66136,45199,81518,22545,37860,35184,55682,5.4,"Congressional District 45, California (111th Congress)",06,45,California,CA,CA-45
64,645093,326726,39.3,248255,447259,10345,114566,2730,1786,2854,285,99586,484117,154002,137001,121332,48771,115418,14661,15,75732,35463,47327,24336,0.463,40.6,55036,74273,62393,71340,86095,60588,50578,79260,23198,46405,40568,58726,5.3,"Congressional District 46, California (111th Congress)",06,46,California,CA,CA-46
65,635552,304687,29.2,228684,301402,9602,93998,3266,1477,1426,80,403352,325563,305607,197910,82925,158480,34577,19800,0,51802,20529,106117,2648,0.396,35.9,28839,50889,48972,51726,66469,41571,44113,68194,19963,31422,31670,44779,4.5,"Congressional District 47, California (111th Congress)",06,47,California,CA,CA-47
